areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-01-19,1359,96717
overview,United Kingdom,K02000001,2021-01-18,1294,95358
overview,United Kingdom,K02000001,2021-01-17,1267,94064
overview,United Kingdom,K02000001,2021-01-16,1306,92797
overview,United Kingdom,K02000001,2021-01-15,1225,91491
overview,United Kingdom,K02000001,2021-01-14,1227,90266
overview,United Kingdom,K02000001,2021-01-13,1214,89039
overview,United Kingdom,K02000001,2021-01-12,1210,87825
overview,United Kingdom,K02000001,2021-01-11,1129,86615
overview,United Kingdom,K02000001,2021-01-10,1095,85486
overview,United Kingdom,K02000001,2021-01-09,1018,84391
overview,United Kingdom,K02000001,2021-01-08,986,83373
overview,United Kingdom,K02000001,2021-01-07,994,82387
overview,United Kingdom,K02000001,2021-01-06,931,81393
overview,United Kingdom,K02000001,2021-01-05,906,80462
overview,United Kingdom,K02000001,2021-01-04,840,79556
overview,United Kingdom,K02000001,2021-01-03,759,78716
overview,United Kingdom,K02000001,2021-01-02,760,77957
overview,United Kingdom,K02000001,2021-01-01,748,77197
overview,United Kingdom,K02000001,2020-12-31,757,76449
overview,United Kingdom,K02000001,2020-12-30,721,75692
overview,United Kingdom,K02000001,2020-12-29,656,74971
overview,United Kingdom,K02000001,2020-12-28,678,74315
overview,United Kingdom,K02000001,2020-12-27,653,73637
overview,United Kingdom,K02000001,2020-12-26,654,72984
overview,United Kingdom,K02000001,2020-12-25,612,72330
overview,United Kingdom,K02000001,2020-12-24,582,71718
overview,United Kingdom,K02000001,2020-12-23,565,71136
overview,United Kingdom,K02000001,2020-12-22,562,70571
overview,United Kingdom,K02000001,2020-12-21,575,70009
overview,United Kingdom,K02000001,2020-12-20,506,69434
overview,United Kingdom,K02000001,2020-12-19,488,68928
overview,United Kingdom,K02000001,2020-12-18,514,68440
overview,United Kingdom,K02000001,2020-12-17,538,67926
overview,United Kingdom,K02000001,2020-12-16,433,67388
overview,United Kingdom,K02000001,2020-12-15,459,66955
overview,United Kingdom,K02000001,2020-12-14,479,66496
overview,United Kingdom,K02000001,2020-12-13,418,66017
overview,United Kingdom,K02000001,2020-12-12,437,65599
overview,United Kingdom,K02000001,2020-12-11,453,65162
overview,United Kingdom,K02000001,2020-12-10,447,64709
overview,United Kingdom,K02000001,2020-12-09,431,64262
overview,United Kingdom,K02000001,2020-12-08,435,63831
overview,United Kingdom,K02000001,2020-12-07,420,63396
overview,United Kingdom,K02000001,2020-12-06,420,62976
overview,United Kingdom,K02000001,2020-12-05,395,62556
overview,United Kingdom,K02000001,2020-12-04,475,62161
overview,United Kingdom,K02000001,2020-12-03,474,61686
overview,United Kingdom,K02000001,2020-12-02,386,61212
overview,United Kingdom,K02000001,2020-12-01,399,60826
overview,United Kingdom,K02000001,2020-11-30,423,60427
overview,United Kingdom,K02000001,2020-11-29,465,60004
overview,United Kingdom,K02000001,2020-11-28,467,59539
overview,United Kingdom,K02000001,2020-11-27,424,59072
overview,United Kingdom,K02000001,2020-11-26,434,58648
overview,United Kingdom,K02000001,2020-11-25,484,58214
overview,United Kingdom,K02000001,2020-11-24,461,57730
overview,United Kingdom,K02000001,2020-11-23,464,57269
overview,United Kingdom,K02000001,2020-11-22,475,56805
overview,United Kingdom,K02000001,2020-11-21,466,56330
overview,United Kingdom,K02000001,2020-11-20,453,55864
overview,United Kingdom,K02000001,2020-11-19,461,55411
overview,United Kingdom,K02000001,2020-11-18,487,54950
overview,United Kingdom,K02000001,2020-11-17,440,54463
overview,United Kingdom,K02000001,2020-11-16,423,54023
overview,United Kingdom,K02000001,2020-11-15,454,53600
overview,United Kingdom,K02000001,2020-11-14,431,53146
overview,United Kingdom,K02000001,2020-11-13,436,52715
overview,United Kingdom,K02000001,2020-11-12,421,52279
overview,United Kingdom,K02000001,2020-11-11,391,51858
overview,United Kingdom,K02000001,2020-11-10,391,51467
overview,United Kingdom,K02000001,2020-11-09,482,51076
overview,United Kingdom,K02000001,2020-11-08,415,50594
overview,United Kingdom,K02000001,2020-11-07,392,50179
overview,United Kingdom,K02000001,2020-11-06,401,49787
overview,United Kingdom,K02000001,2020-11-05,380,49386
overview,United Kingdom,K02000001,2020-11-04,329,49006
overview,United Kingdom,K02000001,2020-11-03,361,48677
overview,United Kingdom,K02000001,2020-11-02,337,48316
overview,United Kingdom,K02000001,2020-11-01,359,47979
overview,United Kingdom,K02000001,2020-10-31,320,47620
overview,United Kingdom,K02000001,2020-10-30,339,47300
overview,United Kingdom,K02000001,2020-10-29,313,46961
overview,United Kingdom,K02000001,2020-10-28,287,46648
overview,United Kingdom,K02000001,2020-10-27,266,46361
overview,United Kingdom,K02000001,2020-10-26,280,46095
overview,United Kingdom,K02000001,2020-10-25,250,45815
overview,United Kingdom,K02000001,2020-10-24,213,45565
overview,United Kingdom,K02000001,2020-10-23,223,45352
overview,United Kingdom,K02000001,2020-10-22,236,45129
overview,United Kingdom,K02000001,2020-10-21,221,44893
overview,United Kingdom,K02000001,2020-10-20,197,44672
overview,United Kingdom,K02000001,2020-10-19,192,44475
overview,United Kingdom,K02000001,2020-10-18,160,44283
overview,United Kingdom,K02000001,2020-10-17,178,44123
overview,United Kingdom,K02000001,2020-10-16,150,43945
overview,United Kingdom,K02000001,2020-10-15,151,43795
overview,United Kingdom,K02000001,2020-10-14,116,43644
overview,United Kingdom,K02000001,2020-10-13,111,43528
overview,United Kingdom,K02000001,2020-10-12,113,43417
overview,United Kingdom,K02000001,2020-10-11,124,43304
overview,United Kingdom,K02000001,2020-10-10,104,43180
overview,United Kingdom,K02000001,2020-10-09,79,43076
overview,United Kingdom,K02000001,2020-10-08,93,42997
overview,United Kingdom,K02000001,2020-10-07,102,42904
overview,United Kingdom,K02000001,2020-10-06,71,42802
overview,United Kingdom,K02000001,2020-10-05,72,42731
overview,United Kingdom,K02000001,2020-10-04,60,42659
overview,United Kingdom,K02000001,2020-10-03,67,42599
overview,United Kingdom,K02000001,2020-10-02,69,42532
overview,United Kingdom,K02000001,2020-10-01,66,42463
overview,United Kingdom,K02000001,2020-09-30,57,42397
overview,United Kingdom,K02000001,2020-09-29,48,42340
overview,United Kingdom,K02000001,2020-09-28,54,42292
overview,United Kingdom,K02000001,2020-09-27,47,42238
overview,United Kingdom,K02000001,2020-09-26,39,42191
overview,United Kingdom,K02000001,2020-09-25,32,42152
overview,United Kingdom,K02000001,2020-09-24,35,42120
